Date,AAPL,MSFT,GOOGL,GOOG,AMZN,META,TSLA,NVDA,ORCL,INTC,CRM,ADBE,CSCO,AMD,IBM
2024-07-08,227.056884765625,463.5419921875,188.3464813232422,189.79779052734375,199.2899932861328,527.9196166992188,252.94000244140625,128.16839599609375,143.4281768798828,33.77574157714844,255.87274169921875,575.4000244140625,45.10017776489258,178.69000244140625,173.5664520263672
2024-07-09,227.9139862060547,456.8807678222656,188.29664611816406,189.7579345703125,199.33999633789062,528.5978393554688,262.3299865722656,131.34764099121094,139.12623596191406,34.3719596862793,251.3521270751953,566.02001953125,44.8455924987793,177.10000610351562,172.4330596923828
2024-07-10,232.1995849609375,463.55194091796875,190.48870849609375,191.96998596191406,199.7899932861328,533.275390625,263.260009765625,134.87677001953125,140.50086975097656,34.65019226074219,251.51145935058594,564.5499877929688,45.30580139160156,183.9600067138672,173.76185607910156
2024-07-11,226.80772399902344,452.06878662109375,184.8990020751953,186.62918090820312,195.0500030517578,511.3436279296875,241.02999877929688,127.36860656738281,141.58187866210938,33.2888298034668,250.0477294921875,557.6300048828125,45.78559112548828,181.94000244140625,174.22108459472656
2024-07-12,229.76776123046875,450.9254150390625,184.40078735351562,186.1110382080078,194.49000549316406,497.5501708984375,248.22999572753906,129.20816040039062,143.5752716064453,34.27259063720703,252.88555908203125,559.0499877929688,46.392669677734375,181.61000061035156,178.637451171875
2024-07-15,233.61483764648438,451.3330383300781,185.85549926757812,187.5159912109375,192.72000122070312,494.84735107421875,252.63999938964844,128.40835571289062,141.88931274414062,34.242774963378906,251.78030395507812,565.7100219726562,46.412254333496094,179.8300018310547,178.686279296875
2024-07-16,234.03343200683594,446.9187316894531,183.2549591064453,184.8356170654297,193.02000427246094,488.4942321777344,256.55999755859375,126.32887268066406,141.43312072753906,34.12353515625,254.936767578125,566.5399780273438,46.43183517456055,177.5500030517578,181.54910278320312
2024-07-17,228.1133270263672,440.9534606933594,180.36544799804688,181.9659423828125,187.92999267578125,460.7677307128906,248.5,117.96092224121094,138.11074829101562,34.242774963378906,250.1472930908203,563.0900268554688,47.508914947509766,159.42999267578125,183.15150451660156
2024-07-18,223.42906188964844,437.82171630859375,177.04747009277344,178.578125,183.75,474.5910949707031,249.22999572753906,121.0601577758789,136.89089965820312,34.65019226074219,246.2938232421875,556.8499755859375,47.038917541503906,155.77000427246094,180.97264099121094
2024-07-19,223.55862426757812,434.5805358886719,177.01759338378906,178.74749755859375,183.1300048828125,475.52862548828125,239.1999969482422,117.90093994140625,137.41651916503906,32.7721061706543,246.57264709472656,551.0,46.333919525146484,151.5800018310547,179.0478057861328
2024-07-22,223.20982360839844,440.3768310546875,181.01309204101562,182.69332885742188,182.5500030517578,486.11053466796875,251.50999450683594,123.50955963134766,139.01324462890625,33.15964889526367,252.99508666992188,554.8200073242188,45.844337463378906,155.8699951171875,179.9271697998047
2024-07-23,224.25628662109375,442.2757873535156,181.1326446533203,182.9424285888672,186.41000366210938,487.3971252441406,246.3800048828125,122.5597915649414,141.92898559570312,32.7422981262207,254.96664428710938,546.010009765625,45.393924713134766,154.0,179.87832641601562
2024-07-24,217.80796813964844,426.4180603027344,172.0057830810547,173.7454833984375,180.8300018310547,460.0496520996094,215.99000549316406,114.22184753417969,137.62478637695312,31.50017547607422,248.71343994140625,531.0399780273438,45.873714447021484,144.6300048828125,179.80015563964844
